Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen,PDR_AP,PDR_MAC,True_Col_Rate,Phy_Err_Up,Phy_Err_Dw,Blockage_Drop,Avg_Retries
48,PD,IR,23.209370734033755,0.0,-23.209370734033755,279.1975738703617,True,True,0.9240816326530614,0.9240816326530614,0.0040195064722341614,0.0,0.0,0.07578231292517008,0.0024489795918367346
49,PD,IR,22.91789383268179,0.0,-22.91789383268179,282.74849544678807,True,True,0.9039455782312927,0.9039455782312927,0.008581600231156481,0.0,0.0,0.09591836734693877,0.0054421768707483
50,PD,IR,23.314828458058972,0.0,-23.314828458058972,277.9347063031953,True,True,0.9214965986394558,0.9214965986394558,0.011427209702010143,0.0,0.0,0.0782312925170068,0.00870748299319728
51,PD,IR,23.059907749961923,0.0,-23.059907749961923,281.0071952699247,True,True,0.9103401360544217,0.9103401360544217,0.009824157839577337,0.0,0.0,0.08965986394557823,0.006802721088435373
52,PD,IR,23.325133872734302,0.0,-23.325133872734302,277.8119103348314,True,True,0.9268027210884353,0.9268027210884353,0.007074770981580734,0.0,0.0,0.0730612244897959,0.005306122448979592
53,PD,IR,22.788079923693452,0.0,-22.788079923693452,284.3591922486874,True,True,0.8965986394557823,0.8965986394557823,0.006773375909467488,0.0,0.0,0.10340136054421768,0.0051700680272108845
54,PD,IR,79.33064426555481,0.0,-79.33064426555481,81.68344099549437,True,False,0.0,0.0,0.0,0.99993073172487,0.0,0.19469387755102044,2.6688435374149657
55,PD,IR,77.99951090751868,0.0,-77.99951090751868,83.07744400709271,True,False,0.0,0.0,0.0,1.0,0.0,0.20993197278911566,2.6235374149659862
56,PD,IR,23.639039948750103,0.0,-23.639039948750103,274.1228076118474,True,True,0.9395918367346939,0.9395918367346939,0.0075252143594876815,0.0,0.0,0.060408163265306125,0.005714285714285714
57,PD,IR,23.087370533809363,0.0,-23.087370533809363,280.67293287083635,True,True,0.9114285714285715,0.9114285714285715,0.01179912603222039,0.0,0.0,0.08857142857142856,0.007346938775510205
58,PD,IR,23.459251003877096,0.0,-23.459251003877096,276.22365261913325,True,True,0.9276190476190478,0.9276190476190478,0.01201722418749874,0.0,0.0,0.07238095238095238,0.008979591836734694
59,PD,IR,23.452184313961272,0.0,-23.452184313961272,276.3068852457553,True,True,0.9268027210884353,0.9268027210884353,0.013551833551481037,0.0,0.0,0.07306122448979592,0.009251700680272108
60,PD,IR,23.647790512749445,0.0,-23.647790512749445,274.0213719546602,True,True,0.9431292517006803,0.9431292517006803,0.008822371411836439,0.0,0.0,0.05687074829931973,0.0055782312925170075
61,PD,IR,23.68883463042063,0.0,-23.68883463042063,273.5465927766046,True,True,0.9439455782312925,0.9439455782312925,0.006263042961998361,0.0,0.0,0.05605442176870748,0.0047619047619047615
62,PD,IR,23.42796399942348,0.0,-23.42796399942348,276.5925370279492,True,True,0.9259863945578233,0.9259863945578233,0.01152923316091005,0.0,0.0,0.07387755102040816,0.00802721088435374
63,PD,IR,23.66708498503288,0.0,-23.66708498503288,273.79797740608814,True,True,0.9425850340136054,0.9425850340136054,0.00701939427011163,0.0,0.0,0.057414965986394555,0.0054421768707483
64,PD,IR,22.74538985551073,0.0,-22.74538985551073,284.892896589769,True,True,0.8885714285714286,0.8885714285714286,0.01586807525834555,0.0,0.0,0.1112925170068027,0.010476190476190476
65,PD,IR,23.561605055370705,0.0,-23.561605055370705,275.0237084770644,True,True,0.9387755102040816,0.9387755102040816,0.004969050070709615,0.0,0.0,0.06122448979591837,0.0036734693877551023
66,PD,IR,23.68823894711353,0.0,-23.68823894711353,273.5534715969084,True,True,0.9439455782312923,0.9439455782312923,0.0067248376437134575,0.0,0.0,0.05605442176870748,0.0047619047619047615
67,PD,IR,23.122892711053325,0.0,-23.122892711053325,280.2417535286317,True,True,0.9125170068027211,0.9125170068027211,0.009239391361433622,0.0,0.0,0.08748299319727891,0.007482993197278911
68,PD,IR,23.297486755199213,0.0,-23.297486755199213,278.1415896096124,True,True,0.9190476190476191,0.9190476190476191,0.0152547731913624,0.0,0.0,0.08081632653061224,0.009931972789115645
69,PD,IR,23.682127412818282,0.0,-23.682127412818282,273.62406624383794,True,True,0.9466666666666667,0.9466666666666667,0.005682700016033349,0.0,0.0,0.05333333333333333,0.003673469387755102
70,PD,IR,23.28281945187134,0.0,-23.28281945187134,278.3168083828943,True,True,0.9213605442176871,0.9213605442176871,0.011510317955678844,0.0,0.0,0.07863945578231292,0.007210884353741497
71,PD,IR,23.5572584572706,0.0,-23.5572584572706,275.07445366589525,True,True,0.936326530612245,0.936326530612245,0.010747439869178999,0.0,0.0,0.0635374149659864,0.006802721088435374
72,PD,IR,23.80415659333773,0.0,-23.80415659333773,272.221364978485,True,True,0.9537414965986396,0.9537414965986396,0.002886267009990688,0.0,0.0,0.04625850340136054,0.002312925170068027
73,PD,IR,22.243926376121728,0.0,-22.243926376121728,291.3154759834177,True,True,0.8668027210884354,0.8668027210884354,0.018369615713777245,0.0,0.0,0.13306122448979593,0.01020408163265306
74,PD,IR,23.5645942257792,0.0,-23.5645942257792,274.98882170060915,True,True,0.9402721088435374,0.9402721088435374,0.003445943616570745,0.0,0.0,0.05959183673469388,0.0027210884353741495
75,PD,IR,23.09912845005453,0.0,-23.09912845005453,280.53006476028764,True,True,0.9164625850340137,0.9164625850340137,0.005271164021164021,0.0,0.0,0.08353741496598639,0.0032653061224489797
76,PD,IR,23.63018778562011,0.0,-23.63018778562011,274.2254974352482,True,True,0.9409523809523809,0.9409523809523809,0.006034631184916507,0.0,0.0,0.058911564625850336,0.004353741496598639
77,PD,IR,23.380962982062762,0.0,-23.380962982062762,277.1485505097151,True,True,0.9266666666666666,0.9266666666666666,0.0070475034631933475,0.0,0.0,0.07306122448979592,0.006122448979591837
78,PD,IR,23.470967452734946,0.0,-23.470967452734946,276.0857648091928,True,True,0.9310204081632655,0.9310204081632655,0.009705532277175187,0.0,0.0,0.06884353741496599,0.006530612244897959
79,PD,IR,22.858082442718818,0.0,-22.858082442718818,283.4883466816846,True,True,0.8955102040816327,0.8955102040816327,0.0167479662185659,0.0,0.0,0.10435374149659864,0.010068027210884354
80,PD,IR,23.591243564982072,0.0,-23.591243564982072,274.6781865123321,True,True,0.94,0.94,0.004232918664802723,0.0,0.0,0.06,0.003401360544217687
81,PD,IR,23.704453926748204,0.0,-23.704453926748204,273.3663479456045,True,True,0.942312925170068,0.942312925170068,0.010006690107824569,0.0,0.0,0.057414965986394555,0.008027210884353741
82,PD,IR,23.555026501911772,0.0,-23.555026501911772,275.10051833200316,True,True,0.9389115646258502,0.9389115646258502,0.005864207715387389,0.0,0.0,0.06108843537414967,0.003537414965986394
83,PD,IR,23.094496758850084,0.0,-23.094496758850084,280.5863261565458,True,True,0.9107482993197279,0.9107482993197279,0.011368089794698322,0.0,0.0,0.0891156462585034,0.007074829931972789
84,PD,IR,23.30432643523474,0.0,-23.30432643523474,278.05995672128205,True,True,0.9250340136054421,0.9250340136054421,0.0075169083723037435,0.0,0.0,0.07496598639455782,0.005714285714285714
85,PD,IR,23.22494613258788,0.0,-23.22494613258788,279.0103349651108,True,True,0.9182312925170069,0.9182312925170069,0.012088059359079938,0.0,0.0,0.0816326530612245,0.007619047619047619
86,PD,IR,22.322771319974393,0.0,-22.322771319974393,290.28653777417423,True,True,0.8746938775510205,0.8746938775510205,0.009344860950920025,0.0,0.0,0.1251700680272109,0.00598639455782313
87,PD,IR,23.04954460491311,0.0,-23.04954460491311,281.13353695581304,True,True,0.9096598639455783,0.9096598639455783,0.010884193076301243,0.0,0.0,0.09020408163265306,0.007346938775510204
88,PD,IR,23.34360294736692,0.0,-23.34360294736692,277.5921101215835,True,True,0.9227210884353743,0.9227210884353743,0.011881577947755923,0.0,0.0,0.07700680272108842,0.008707482993197279
89,PD,IR,23.739152738619815,0.0,-23.739152738619815,272.9667765041199,True,True,0.9491156462585032,0.9491156462585032,0.005971381511729117,0.0,0.0,0.050884353741496594,0.004353741496598639
90,PD,IR,23.384521284472953,0.0,-23.384521284472953,277.1063782392947,True,True,0.9307482993197277,0.9307482993197277,0.004616070884867877,0.0,0.0,0.06925170068027212,0.00272108843537415
91,PD,IR,23.25908451455295,0.0,-23.25908451455295,278.60081921734866,True,True,0.9212244897959183,0.9212244897959183,0.010039764715088556,0.0,0.0,0.07877551020408163,0.006122448979591836
92,PD,IR,23.292663988803138,0.0,-23.292663988803138,278.19917906835207,True,True,0.9243537414965988,0.9243537414965988,0.005352053165338503,0.0,0.0,0.07551020408163266,0.003945578231292517
93,PD,IR,23.514933004578214,0.0,-23.514933004578214,275.5695709929679,True,True,0.9299319727891157,0.9299319727891157,0.01446246417186267,0.0,0.0,0.06965986394557823,0.009523809523809523
94,PD,IR,23.315512708353307,0.0,-23.315512708353307,277.9265496348444,True,True,0.926530612244898,0.926530612244898,0.006041619212196803,0.0,0.0,0.07333333333333333,0.003945578231292517
95,PD,IR,23.75156476643657,0.0,-23.75156476643657,272.82413027191006,True,True,0.9491156462585032,0.9491156462585032,0.004976978218913703,0.0,0.0,0.0508843537414966,0.003945578231292517
96,PD,IR,23.139559997970014,0.0,-23.139559997970014,280.03989706668915,True,True,0.9131972789115647,0.9131972789115647,0.011996327038704683,0.0,0.0,0.08680272108843537,0.008979591836734696
97,PD,IR,22.931547411542986,0.0,-22.931547411542986,282.5801453214702,True,True,0.9047619047619048,0.9047619047619048,0.011295210826653938,0.0,0.0,0.09523809523809523,0.007619047619047619
98,PD,IR,24.027081911595623,0.0,-24.027081911595623,269.6956719023258,True,True,0.9627210884353741,0.9627210884353741,0.005831835924339807,0.0,0.0,0.03727891156462585,0.004489795918367347
99,PD,IR,23.406280756867396,0.0,-23.406280756867396,276.84876838447605,True,True,0.9295238095238094,0.9295238095238094,0.007103741266621591,0.0,0.0,0.07034013605442176,0.0051700680272108845
